time;gFx;gFy;gFz;TgF;Actividad;movil;sujeto
1,117528;-0,0132;0,1483;1,0001;1,011;standing;Samsung Galaxy S10;Isaías
1,122729;-0,0083;0,1468;1,0001;1,011;standing;Samsung Galaxy S10;Isaías
1,128681;-0,0117;0,1427;1,0033;1,013;standing;Samsung Galaxy S10;Isaías
1,134563;-0,0142;0,1387;1,0058;1,015;standing;Samsung Galaxy S10;Isaías
1,138358;-0,0129;0,138;1,0063;1,016;standing;Samsung Galaxy S10;Isaías
1,142871;-0,0149;0,1378;1,0028;1,012;standing;Samsung Galaxy S10;Isaías
1,148785;-0,0159;0,1375;0,9989;1,008;standing;Samsung Galaxy S10;Isaías
1,153021;-0,0178;0,1392;0,9974;1,007;standing;Samsung Galaxy S10;Isaías
1,158546;-0,0178;0,1409;0,9952;1,005;standing;Samsung Galaxy S10;Isaías
1,164053;-0,0151;0,1434;0,9884;0,999;standing;Samsung Galaxy S10;Isaías
1,16907;-0,0127;0,1437;0,9808;0,991;standing;Samsung Galaxy S10;Isaías
1,173352;-0,0127;0,1402;0,9762;0,986;standing;Samsung Galaxy S10;Isaías
1,178445;-0,0134;0,1405;0,9745;0,985;standing;Samsung Galaxy S10;Isaías
1,183575;-0,0105;0,1417;0,9755;0,986;standing;Samsung Galaxy S10;Isaías
1,188582;-0,0117;0,1485;0,9762;0,988;standing;Samsung Galaxy S10;Isaías
1,193536;-0,0149;0,1505;0,9782;0,99;standing;Samsung Galaxy S10;Isaías
1,198531;-0,0168;0,1529;0,9789;0,991;standing;Samsung Galaxy S10;Isaías
1,203835;-0,0193;0,1539;0,9808;0,993;standing;Samsung Galaxy S10;Isaías
1,208766;-0,0217;0,1549;0,9838;0,996;standing;Samsung Galaxy S10;Isaías
1,214206;-0,0234;0,1561;0,9857;0,998;standing;Samsung Galaxy S10;Isaías
1,219112;-0,0225;0,1559;0,9891;1,002;standing;Samsung Galaxy S10;Isaías
1,224044;-0,023;0,1529;0,9928;1,005;standing;Samsung Galaxy S10;Isaías
1,228948;-0,0215;0,1522;0,994;1,006;standing;Samsung Galaxy S10;Isaías
1,234011;-0,0195;0,1507;0,9955;1,007;standing;Samsung Galaxy S10;Isaías
1,239182;-0,0188;0,1456;0,9943;1,005;standing;Samsung Galaxy S10;Isaías
1,244204;-0,0181;0,1427;0,9926;1,003;standing;Samsung Galaxy S10;Isaías
1,249345;-0,0161;0,1387;0,9928;1,003;standing;Samsung Galaxy S10;Isaías
1,254686;-0,0164;0,1375;0,9945;1,004;standing;Samsung Galaxy S10;Isaías
1,259544;-0,0176;0,1383;0,9965;1,006;standing;Samsung Galaxy S10;Isaías
1,264569;-0,0142;0,1373;0,9996;1,009;standing;Samsung Galaxy S10;Isaías
1,270531;-0,0132;0,1339;1,0021;1,011;standing;Samsung Galaxy S10;Isaías
1,275668;-0,0107;0,1339;1,0028;1,012;standing;Samsung Galaxy S10;Isaías
1,280151;-0,0088;0,137;1,0018;1,011;standing;Samsung Galaxy S10;Isaías
1,284848;-0,01;0,1351;1,0004;1,01;standing;Samsung Galaxy S10;Isaías
1,289886;-0,0132;0,1363;0,9999;1,009;standing;Samsung Galaxy S10;Isaías
1,2949;-0,0151;0,1344;0,9952;1,004;standing;Samsung Galaxy S10;Isaías
1,301799;-0,0178;0,1356;0,9872;0,997;standing;Samsung Galaxy S10;Isaías
1,305683;-0,0178;0,1363;0,9813;0,991;standing;Samsung Galaxy S10;Isaías
1,310448;-0,0222;0,1358;0,9772;0,987;standing;Samsung Galaxy S10;Isaías
1,315349;-0,0208;0,1353;0,9764;0,986;standing;Samsung Galaxy S10;Isaías
