actividad,sujeto,movil,actividad_cat,userID,gFx_mean,gFy_mean,gFz_mean,TgF_mean,gFx_energia,gFy_energia,gFz_energia,TgF_energia,gFx_median,gFy_median,gFz_median,TgF_median,gFx_kurtosis,gFy_kurtosis,gFz_kurtosis,TgF_kurtosis
Standing,Alvaro,Unespecified,1,0,0.45401866842887784,0.21644410676532783,0.7141516259137893,1.0287274999999987,1.251422364738986e-06,3.681141407405858e-07,2.152287487857535e-06,8.583243750000035e-06,0.45390715347761446,0.2164904862579281,0.7140912528358961,1.029,-0.0960317919709679,0.17339732516949624,2.896079390953161,2.9476923137074484
Standing,Alvaro,Unespecified,1,0,0.4539961589294561,0.21644978858350966,0.714166624653391,1.0287549999999985,1.23234419103252e-06,3.671632309624614e-07,2.241977471182914e-06,8.924975000000039e-06,0.45390715347761446,0.2164904862579281,0.7140912528358961,1.029,-0.10926724253393649,0.1800279239077387,2.6583958641213385,2.73696080927503
Standing,Alvaro,Unespecified,1,0,0.4540073104245826,0.2164388213530657,0.7141581799848755,1.0287449999999987,1.2010307414059236e-06,3.646626994879989e-07,2.3071617470041894e-06,9.164975000000035e-06,0.45390715347761446,0.2164904862579281,0.7140912528358961,1.029,-0.046566088620396684,0.20137562798482822,2.465428912653678,2.5504100667619234
Standing,Alvaro,Unespecified,1,0,0.4540085494795968,0.21643697145877389,0.7141372573733302,1.0286999999999988,1.1941964581190405e-06,3.636021250877201e-07,2.2369063141220345e-06,8.89500000000003e-06,0.45390715347761446,0.2164904862579281,0.7140912528358961,1.029,-0.019616224393632198,0.24654176203376688,2.6588985331167887,2.7569603022711426
Standing,Alvaro,Unespecified,1,0,0.45401412522715995,0.21643353594080345,0.7141269221073858,1.0286774999999988,1.181213170711964e-06,3.6846054196706965e-07,2.0984743588855897e-06,8.333493750000034e-06,0.45390715347761446,0.2164904862579281,0.7140912528358961,1.029,0.01645527361162591,0.23901276290849705,2.014759078331654,2.056227662249741
Standing,Alvaro,Unespecified,1,0,0.4539978110028084,0.21643657505285432,0.7141117973279552,1.028647499999999,1.1313686107400492e-06,3.789869663745003e-07,2.0608422402644155e-06,8.193243750000032e-06,0.45390715347761446,0.2164904862579281,0.7140912528358961,1.029,0.06951730249945465,0.1832672008295635,2.197079531020612,2.230223042152714
Standing,Alvaro,Unespecified,1,0,0.45398046423261174,0.2164266649048628,0.7141463322409878,1.028717499999999,1.1117640570003262e-06,3.842663550266197e-07,2.0143978184275687e-06,7.997693750000025e-06,0.45390715347761446,0.21633192389006342,0.7140912528358961,1.029,0.07131319406364334,0.13426325843802633,2.3091273102584626,2.3625183781200807
Standing,Alvaro,Unespecified,1,0,0.4539819097967948,0.21643644291754782,0.7141380136123012,1.0287049999999984,1.1141599539985072e-06,3.8730448933196234e-07,2.016935263567517e-06,8.007975000000027e-06,0.45390715347761446,0.2164904862579281,0.7140912528358961,1.029,0.06031549055613583,0.10965932811628232,2.310129503731747,2.358699583042008
Standing,Alvaro,Unespecified,1,0,0.45399078969106227,0.21643261099365774,0.7141329720191579,1.028689999999999,1.0985779023957919e-06,3.8829335658319027e-07,1.991468037703825e-06,7.898900000000027e-06,0.45390715347761446,0.2164904862579281,0.7140912528358961,1.029,0.12808738355539173,0.10613701351313942,2.4386508982449646,2.5026348422587237
Standing,Alvaro,Unespecified,1,0,0.4539992565669915,0.21642190803382674,0.7141149483236704,1.028654999999999,1.0952646891442356e-06,3.873100764485185e-07,1.9685955896926325e-06,7.805975000000027e-06,0.45390715347761446,0.2164904862579281,0.7140912528358961,1.029,0.07730973667970131,0.11853771539268187,2.581424826875402,2.647456227571392
